#Application,2.0,2.2,2.3,2.4,2.4.3,2.5,2.6,2.7,2.7.2,3.0,3.1,3.2,3.3.0,3.5.0,3.6.0,Files
edx-platform,43.27,43.41,43.41,54.62,54.62,72.60,93.16,100.00,100.00,78.28,78.38,78.38,95.49,95.49,95.31,2748
openerp-client-lib,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,5
scons,99.07,99.77,99.77,99.85,99.85,99.92,99.92,99.92,99.92,89.19,89.19,89.19,89.27,89.27,89.27,1295
tribler,45.73,46.28,46.28,71.35,71.35,90.63,97.25,100.00,100.00,64.19,64.46,64.46,95.87,95.87,95.87,363
unknown-horizons,30.40,32.08,32.08,63.52,63.52,89.52,98.74,100.00,100.00,84.28,84.28,84.28,98.32,98.32,98.11,477
