astropy 89.56228956228956
biopython 68.49056603773585
buildbot 81.17443868739205
calibre 82.46527777777777
cherrypy 97.36842105263158
cinder 82.6086956521739
django 100.0
emesene 90.63981042654028
EventGhost 73.17073170731707
exaile 77.85714285714286
globaleaks 55.932203389830505
gramps 99.04580152671755
gtg 75.26881720430107
heat 70.4035874439462
ipython 81.24006359300476
kivy 83.15789473684211
mailman 93.29446064139941
matplotlib 96.95431472081218
miro 76.5807962529274
networkx 96.85714285714286
neutron 87.84530386740332
nova 90.36144578313252
numpy 75.17084282460137
Pillow 36.36363636363637
pip 100.0
portage 100.0
pygame 90.28776978417267
pyobjc 96.32063074901446
pyramid 99.62546816479401
Pyro4 100.0
quodlibet 84.86842105263158
sabnzbd 52.0
sage 0
scikit-image 90.87136929460581
scikit-learn 60.480349344978166
sympy 85.43046357615894
tg2 98.13084112149532
tornado 65.21739130434783
trac 68.8715953307393
tryton 88.28828828828829
twisted 71.38783269961978
veusz 60.15625
VisTrails 60.672853828306266
vpython-wx 84.6938775510204
web2py 68.57142857142857
wxPython 67.58620689655173
Zope 71.36659436008676
