#Application,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
tg2,-,-,2.4 (100),2.4 (100),2.4 (100),2.4 (100),2.4 (100),2.4 (100),2.4 (99),2.6 (100),2.6 (100),2.6 (100)
tornado,-,-,-,-,-,2.5 (100),2.5 (100),2.5 (99),2.5 (100),2.6 (100),2.6 (100),2.6 (100)
trac,2.0 (99),2.2 (99),2.2 (99),2.2 (99),2.4 (100),2.4 (100),2.5 (100),2.5 (100),2.5 (100),2.5 (100),2.6 (100),2.5 (100)
tryton,-,-,2.4 (100),2.4 (100),2.4 (100),2.4 (100),2.4 (100),2.5 (99),2.5 (98),2.5 (98),2.7 (100),2.7 (100)
twisted,2.2 (99),2.2 (99),2.2 (99),2.2 (99),2.2 (99),2.2 (100),2.2 (98),2.4 (100),2.6 (100),2.6 (100),2.6 (100),2.6 (100)
veusz,2.0 (100),2.0 (98),2.0 (98),2.2 (98),2.2 (99),2.4 (100),2.4 (100),2.4 (98),2.5 (99),2.6 (100),2.6 (100),2.6 (100)
VisTrails,-,-,-,-,-,-,-,-,-,2.5 (99),2.5 (98),2.5 (98)
vpython-wx,-,-,-,-,-,-,-,-,2.6 (98),2.6 (98),2.6 (98),2.6 (98)
web2py,-,-,-,-,-,-,2.5 (99),2.5 (99),2.5 (99),2.5 (99),2.6 (100),2.6 (100)
wxPython,2.0 (100),2.0 (100),2.0 (99),2.0 (99),2.0 (98),2.0 (98),2.2 (98),2.2 (98),2.2 (98),2.2 (98),2.2 (98),2.5 (100)
Zope,2.0 (99),2.0 (99),2.0 (98),2.4 (100),2.4 (100),2.4 (100),2.4 (99),2.4 (100),2.4 (98),2.4 (98),2.4 (98),2.4 (98)
