#Application,URL,SHA
biopython,https://github.com/biopython/biopython,b3f94fe1380f2c2c9a3efd4864afb7e320802cf2
buildbot,https://github.com/buildbot/buildbot,cef88ebc28b581ece998f5e892989bbb18df7de2
cherrypy,https://github.com/cherrypy/cherrypy,ce89f91b0e27a5d5e3bdb661a5c5cae7a52829af
django,https://github.com/django/django,4596b1bbfdebcc367b51182b4c3e1bbaa6ba5631
gramps,https://github.com/gramps-project/gramps,84cf1f964d096a3829cb885e94480fc00996715b
ipython,https://github.com/ipython/ipython,5b1712215aac0335db836d5c0a3b09e0b17be147
mailman,https://github.com/terencehonles/mailman,e04d647d939bba8c6c2f4be6af53f2dcfb2838ca
matplotlib,https://github.com/matplotlib/matplotlib,0bfe4affd4f607fd4fc0bf3fe1b22ed97250cfe1
miro,https://github.com/pculture/miro,256436dd48d1110d1eae1babebfbcbe1ba7b3589
networkx,https://github.com/networkx/networkx,d74f3c4628d12a5012d38cb54d6200448c1c0e6a
numpy,https://github.com/numpy/numpy,cd9c8d62c5c16452c29c622e2bb24a2cf26e1da3
portage,https://github.com/gentoo/portage,c6479d3fec9fddeb645d3e5a8c32c7ac1b3c9b4e
pygame,https://github.com/pygame/pygamefullmirror,41126e1414fa13d8897d1a03bd6ddeeb005caa8a
pyobjc,https://github.com/GreatFruitOmsk/pyobjc,2e770f3b32d75e94e31696a3f6bec02d712d120c
quodlibet,https://github.com/quod-libet/quodlibet,1de0e9f282d189fde239e03bf4239adb560765f0
trac,https://github.com/edgewall/trac,507f26848e306f3056aa4872a920f867ebfc5b40
twisted,https://github.com/twisted/twisted,06c8c92a7cf735b16aec28b1c7f1ceb806ca4c57
veusz,https://github.com/jeremysanders/veusz,811f1f75f84ca8f45779b1f1617dca6da61eaf5f
wxPython,https://github.com/wxWidgets/wxPython,7b36b45e74c37575857c882f1106060cd1bc3f0f
Zope,https://github.com/zopefoundation/Zope,af8e4e38e0a4f90046785f5c891eac04ac6f12b1
