#Application,URL,SHA
astropy,https://github.com/astropy/astropy,e75f5006e8d20ed5c2e676cf994119ac875c2714
biopython,https://github.com/biopython/biopython,06b81e343e25009f93eccbd6c3306303be8a0d32
buildbot,https://github.com/buildbot/buildbot,e6abb3551a0ec15bb9596f90670c25107d8907b9
calibre,https://github.com/kovidgoyal/calibre,9d37292fe592b4f3a3efe04e4ffd40889dbbef41
cherrypy,https://github.com/cherrypy/cherrypy,e0128437a00ee58b574b71d5b918f44de9ccfdc3
cinder,https://github.com/openstack/python-cinderclient,797d932d0f564221a9d126d1ca49de36870c62b6
django,https://github.com/django/django,2b4bb78f7944adbf88f9bf3b868632707c79b5dd
emesene,https://github.com/emesene/emesene,4548a4098310e21b16437bb36223a7f632a4f7bc
EventGhost,https://github.com/EventGhost/EventGhost,5644f5cb73d27c9d36cdc7f7d046452b13be5ab9
exaile,https://github.com/exaile/exaile,44a259065d56737301df6ede9ac9111eadf578ff
globaleaks,https://github.com/globaleaks/globaleaks/,3552230fd17818b732210678cd8b279975a38252
gramps,https://github.com/gramps-project/gramps,7406c6ecf4570efd466a7ae307d0715d2067cf0c
gtg,https://github.com/getting-things-gnome/gtg,117bd7b4bdfcd4805bdc3222ee4b3fc2b10ee0ff
heat,https://github.com/openstack/heat,1a7881f7a5cddd280b3d1f885106678c1c741bc7
ipython,https://github.com/ipython/ipython,ac4c93866de1899ce6c607b954fa4afe74c2d0ae
kivy,https://github.com/kivy/kivy,63eefb7ea5c493db3bb60c6ac9b87fd1cb2a5404
magnum,https://github.com/openstack/magnum,5902daf8ae49797fae06f713ff1fd24e41aa794d
mailman,https://github.com/terencehonles/mailman,fe405ddae97cc792a343e3665b9ea645b9cf4539
manila,https://github.com/openstack/manila,cbda16bc57bf52c6801634bdeb745d49c58d4fcc
matplotlib,https://github.com/matplotlib/matplotlib,daf7c408c2b1e42b26a87e05a1bbccc3959f6f8b
miro,https://github.com/pculture/miro,d8e4594441939514dd2ac29812bf37087bb3aea5
networkx,https://github.com/networkx/networkx,ff0ab5802d5fbcdedca09ef3324882807af0b77c
neutron,https://github.com/openstack/neutron,0092198b235af55581381010abcf327a0d39f0b7
nova,https://github.com/openstack/python-novaclient,e8e39ed343622350e114c84ecd5fcc0c94bfec6b
numpy,https://github.com/numpy/numpy,8fbbd252be29db194347ebee1cd822f5909173a9
pathomx,https://github.com/pathomx/pathomx,2c4f202cb887c2043a5781c4a466966624bb6486
Pillow,https://github.com/python-pillow/Pillow,7228de14911c6a3dc13c568f81b9a642cb1e5c05
pip,https://github.com/pypa/pip,8c45460241ab72770fae77fbc73b97fc0f683c99
portage,https://github.com/gentoo/portage,aa57d60d9c77a46f542475dcf448c83af40e73e1
pygame,https://github.com/pygame/pygamefullmirror,06a73082771e49cce2b790c679d74b22059f6c5b
pyobjc,https://github.com/GreatFruitOmsk/pyobjc,7c4feff4f6f21adc4127c77f9b03c3fa70cc4756
pyramid,https://github.com/Pylons/pyramid,43549fb2a3cbe915d8c727cd680e94389532d2e1
Pyro4,https://github.com/irmen/Pyro4,416226da524fdf12f2d475d294bd11164de49ce1
python-api,https://github.com/plotly/python-api,ab670205e3c35e3f4e471d7b4e90be552609d79a
quodlibet,https://github.com/quod-libet/quodlibet,b5b1507a26039a5fa4b84749943a39c640680a23
sabnzbd,https://github.com/sabnzbd/sabnzbd,2fb44827b0cb4ddcce166e13a18d692cf5e5cf17
sage,https://github.com/sagemath/sage,e82c80c6a860fcbbdcad88ab96fafed0e6c7d86a
scikit-image,https://github.com/scikit-image/scikit-image,639c4112d64d9800dac9637930ab4b8797824010
scikit-learn,https://github.com/scikit-learn/scikit-learn,e2adbb7e037de74044db002eff5898f5e11a5507
sympy,https://github.com/sympy/sympy,25ea11a953ec1a83e73b58d43a1d5f4026e006bc
tg2,https://github.com/TurboGears/tg2,81937621a1ef1fc4df810b3c5b0a9ee1aaa3833d
tornado,https://github.com/tornadoweb/tornado,38e493ed4a55e424e5485bd3ffc3c6ccb8a71843
trac,https://github.com/edgewall/trac,614d06d4911086336e6efaa890ecd054b79a44c7
tryton,https://github.com/tryton/tryton,039edb81092e1890f7d97aec154442343a5024b4
twisted,https://github.com/twisted/twisted,5fbcab74b3c24016e5e1489da2e30a43923b66ca
veusz,https://github.com/jeremysanders/veusz,5e5dcdea9c9a4343ed99a8006a8ae23edcac83a4
VisTrails,https://github.com/VisTrails/VisTrails,89c95ad1f5f8d3a063df05cc99b436be25996c41
vpython-wx,https://github.com/BruceSherwood/vpython-wx,9bd8fbb9c13e897530acb15dcba41b6e63c1859e
web2py,https://github.com/web2py/web2py/,7e5277030afce432b03161a7bf456b5851d5f9fe
wxPython,https://github.com/wxWidgets/wxPython,f244d9d82efda37d53e795adda223d014a40a4dd
Zope,https://github.com/zopefoundation/Zope,d690799f3e5439b8287d8c87328b46fe75add9ab
