#Application,URL,SHA
astropy,https://github.com/astropy/astropy,966058157138688d9ee312d43b7fc0c626c6dc70
biopython,https://github.com/biopython/biopython,77e8bb6acef0211a645506f827c81eafab63968f
buildbot,https://github.com/buildbot/buildbot,5e3998e58c7fabc2663d52a7acfdda6e551490a4
calibre,https://github.com/kovidgoyal/calibre,545c314ddcfd857521b09defae91e574b2073663
cherrypy,https://github.com/cherrypy/cherrypy,8a5a8f8ef6712da502086cd0a099a8e2d1a6e742
cinder,https://github.com/openstack/python-cinderclient,b0e4cc1b63911710524005855aeefadc0850f44b
django,https://github.com/django/django,b4bdd5262b18644456d12a00d475adf9897a9255
emesene,https://github.com/emesene/emesene,4548a4098310e21b16437bb36223a7f632a4f7bc
EventGhost,https://github.com/EventGhost/EventGhost,e72921c8aab16edb57ec2cc11150e905d9cabbb6
exaile,https://github.com/exaile/exaile,3dcaa956554e6a45daf766fe07ccbc4af1a22850
globaleaks,https://github.com/globaleaks/globaleaks/,de0c2f2dfe639c9b7740017c92013ca02ffa2c17
gramps,https://github.com/gramps-project/gramps,faeeeb6ceb37959adac8af9041ea40bb99eff71c
gtg,https://github.com/getting-things-gnome/gtg,284b387af4e5eb3425caa6e22e2b60a6e8a94824
heat,https://github.com/openstack/heat,e930bc288755999c3570ce145ca94237f9f1e2f9
ipython,https://github.com/ipython/ipython,279ce9b8acc3c68ae3646194bb21fdcd9459a2e9
kivy,https://github.com/kivy/kivy,3527e1ad8864b50298f8d55ecc0885aa76f39c81
magnum,https://github.com/openstack/magnum,9fa75af73ec3b6e4a237b98bb35f53d6ec35df3b
mailman,https://github.com/terencehonles/mailman,fe405ddae97cc792a343e3665b9ea645b9cf4539
manila,https://github.com/openstack/manila,a2bece0bbbde59ff02c4fe66d55cda83c1023155
matplotlib,https://github.com/matplotlib/matplotlib,d84b16e3ef4c298dcb50a4a444da4cf219814345
miro,https://github.com/pculture/miro,d8e4594441939514dd2ac29812bf37087bb3aea5
networkx,https://github.com/networkx/networkx,b672ee5163515202bc438490f6712a1dcabb0b94
neutron,https://github.com/openstack/neutron,b88f9df7339a576fbcdf481225bfc644a2a13b2f
nova,https://github.com/openstack/python-novaclient,c8ac6883c396606db21d1226882b8301b4c7b2fe
numpy,https://github.com/numpy/numpy,fb898ce678c8d45364d1ee7b1a6d0308562a8ad9
pathomx,https://github.com/pathomx/pathomx,512f46781fb810987946ee06fdbb245666f61ec1
Pillow,https://github.com/python-pillow/Pillow,4889ae776ccbf27a7f955204067812f2aceefba3
pip,https://github.com/pypa/pip,1503a21857ace287a2d208cbee7e1eca05bf77c8
portage,https://github.com/gentoo/portage,605846a0b98869c9d1cbf19660969fb24e5c680b
pygame,https://github.com/pygame/pygamefullmirror,f2df83013bf9340913ea6185453e977a19f83630
pyobjc,https://github.com/GreatFruitOmsk/pyobjc,804447f6bb56e359f20a576522e44b2145f9aefc
pyramid,https://github.com/Pylons/pyramid,807e941787e157db882fcd95e13f5cafb7ebde7f
Pyro4,https://github.com/irmen/Pyro4,562cea39a859ebfdaf3aaf947f5dc506662f01f8
python-api,https://github.com/plotly/python-api,7b0e8fb6d31e60348fe0166d01faf20c2afe9994
quodlibet,https://github.com/quod-libet/quodlibet,292543142436b3b7b71736c01f954acf17d4022d
sabnzbd,https://github.com/sabnzbd/sabnzbd,8eed05d22150844b7e13a5c0ca14624b33f8cf9e
sage,https://github.com/sagemath/sage,6107bd2a8470cd984c06ef23a88d7f3f6311357b
scikit-image,https://github.com/scikit-image/scikit-image,097f8eaaa0b33b5c691cad4079c375a3630949a8
scikit-learn,https://github.com/scikit-learn/scikit-learn,53f3b726609eb1a4e9f767b5148fb72cf1dfef57
sympy,https://github.com/sympy/sympy,7d7eb6731562f9a7cf25f92264613f0331f72119
tg2,https://github.com/TurboGears/tg2,ae5109f1b63f6bcee9e21ef60a7b2178dc91c1da
tornado,https://github.com/tornadoweb/tornado,e5afc25952c220efd3f21323f4a9404221dbcaa9
trac,https://github.com/edgewall/trac,6b90eaa8ef3651ce8cbaef1b88135318c968ef3a
tryton,https://github.com/tryton/tryton,1457ba38da7f0d44b2f43555145e07d53189484e
twisted,https://github.com/twisted/twisted,ecf9c7fe02ead79f81df31669be063d39e6341ac
veusz,https://github.com/jeremysanders/veusz,37f1936d052e676cad9c6d33ee7c32894ab13213
VisTrails,https://github.com/VisTrails/VisTrails,7f17aa4c1dbfcf2011218cba134000fd88f18c0d
vpython-wx,https://github.com/BruceSherwood/vpython-wx,491174c9d5ba0d9b2f9ec217cdbe12f08d81b170
web2py,https://github.com/web2py/web2py/,354e63d0fea30e35b7d55f4f26dd34b4d887232f
wxPython,https://github.com/wxWidgets/wxPython,bc7ee7ff36002b9a4b30b11e3c2becf3e29f1a2f
Zope,https://github.com/zopefoundation/Zope,3710b7fef474eb866495c0fe80cb37e5ea5a7b1f
