astropy 17.46987951807229
biopython 61.81506849315068
buildbot 52.84552845528455
calibre 40.32258064516129
cherrypy 74.13793103448276
cinder 81.76470588235294
django 52.47691015952981
emesene 90.05917159763314
EventGhost 65.63636363636364
exaile 67.3992673992674
globaleaks 46.540880503144656
gramps 28.15013404825737
gtg 83.45323741007195
heat 67.4390243902439
ipython 55.52325581395349
kivy 66.74528301886792
magnum 81.15183246073299
mailman 50.43731778425656
manila 53.97727272727273
matplotlib 81.18466898954703
miro 85.98130841121495
networkx 65.19916142557652
neutron 64.79591836734694
nova 85.48387096774194
numpy 58.19672131147541
pathomx 77.77777777777777
Pillow 68.51851851851852
pip 43.01994301994302
portage 71.58730158730158
pygame 94.7565543071161
pyobjc 92.38045191802418
pyramid 57.608695652173914
Pyro4 36.54822335025381
python-api 67.17557251908397
quodlibet 45.78947368421053
sabnzbd 73.72881355932203
sage 52.22748815165877
scikit-image 53.03370786516854
scikit-learn 59.705882352941174
sympy 62.691960252935864
tg2 60.869565217391305
tornado 35.0
trac 50.645161290322584
tryton 50.0
twisted 62.220232766338405
veusz 8.074534161490684
VisTrails 83.08308308308308
vpython-wx 74.27184466019418
web2py 67.16791979949875
wxPython 96.03698811096433
Zope 75.2411575562701
