biopython 83.26359832635983
buildbot 93.41317365269461
calibre 59.97088791848617
cherrypy 81.55339805825243
django 92.87901990811639
emesene 81.73913043478261
EventGhost 56.94915254237288
exaile 76.54867256637168
gramps 82.62967430639324
gtg 82.85714285714286
ipython 76.80412371134021
mailman 65.03496503496504
matplotlib 89.22610015174507
miro 75.61837455830388
networkx 73.28767123287672
numpy 87.92270531400966
pip 75.0
portage 69.62025316455696
pygame 89.57528957528957
pyobjc 79.58968963703315
pyramid 85.8974358974359
Pyro4 94.11764705882354
quodlibet 87.34693877551021
sabnzbd 72.34042553191489
sage 33.333333333333336
scikit-image 75.34246575342466
sympy 62.42774566473989
tg2 65.67164179104478
tornado 48.717948717948715
trac 77.09251101321586
tryton 89.28571428571429
twisted 94.55445544554455
veusz 69.04761904761905
VisTrails 69.47040498442368
wxPython 97.97136038186157
Zope 95.51122194513715
