#Application,URL,SHA
astropy,https://github.com/astropy/astropy,9d2ae73ac398173c62fe547add1dd21c224deb11
biopython,https://github.com/biopython/biopython,f43a28355e0a108f7319053f3bc47a0a07701dde
buildbot,https://github.com/buildbot/buildbot,8abc6fc671245a8e0480d78b47b7913fd098ceb7
calibre,https://github.com/kovidgoyal/calibre,df2fa79534793501fbf815610bb0f6ef5b76b3a2
cherrypy,https://github.com/cherrypy/cherrypy,26c5478142482e92afb14fca28ff133e250a56b2
cinder,https://github.com/openstack/python-cinderclient,fa18f8e1716d20f07af4d2b7a8b2a87d24bb608e
django,https://github.com/django/django,98839e906632dfe77c6f6906d61d62868a0541dc
emesene,https://github.com/emesene/emesene,4548a4098310e21b16437bb36223a7f632a4f7bc
EventGhost,https://github.com/EventGhost/EventGhost,e72921c8aab16edb57ec2cc11150e905d9cabbb6
exaile,https://github.com/exaile/exaile,8655a1733aa49e2a1796564d84093635a2c75075
globaleaks,https://github.com/globaleaks/globaleaks/,9ef9108a2643ca6502b83694616e9d36965d50ea
gramps,https://github.com/gramps-project/gramps,307f236771601c053faad99db818be1dae965c66
gtg,https://github.com/getting-things-gnome/gtg,117bd7b4bdfcd4805bdc3222ee4b3fc2b10ee0ff
heat,https://github.com/openstack/heat,08154cdd0eabf886130fd50773d4566c298a6dc4
ipython,https://github.com/ipython/ipython,fa27f966e74a9076e22f5c98ed0e631bda4b895c
kivy,https://github.com/kivy/kivy,7e789b24cdb0ee044469d7bc42da9e4146674a18
magnum,https://github.com/openstack/magnum,e1425601ea2de46e5f9dc25b9d4e956292392ae0
mailman,https://github.com/terencehonles/mailman,fe405ddae97cc792a343e3665b9ea645b9cf4539
manila,https://github.com/openstack/manila,7fb5d6b406b12b7c305134ac47b64d62ce5533d2
matplotlib,https://github.com/matplotlib/matplotlib,605a8af711068c3a98bf78d43c0c8f92c3565608
miro,https://github.com/pculture/miro,d8e4594441939514dd2ac29812bf37087bb3aea5
networkx,https://github.com/networkx/networkx,4a56f73f3ac454f7e408ea71928ff710c760a3ef
neutron,https://github.com/openstack/neutron,e3468ed8a28bcdcd6c931af397e9415d4aac2ae6
nova,https://github.com/openstack/python-novaclient,5a3956c3995cf4a81199e96345b91f6ef9f5d29d
numpy,https://github.com/numpy/numpy,fd2b0d6c58356dd22b38d5e57e32f8107d9362a5
pathomx,https://github.com/pathomx/pathomx,2c4f202cb887c2043a5781c4a466966624bb6486
Pillow,https://github.com/python-pillow/Pillow,b84675dca072d1e42f2fce236ebc32ef7027248d
pip,https://github.com/pypa/pip,d51a4b345b31ec4c8defbefe7f12b996c00c67fa
portage,https://github.com/gentoo/portage,bff7a405f648ee1fbaad46933558f31bcd3c15fa
pygame,https://github.com/pygame/pygamefullmirror,3ba8ef3cc5ebdd91c782423f00a4a41749b3dec4
pyobjc,https://github.com/GreatFruitOmsk/pyobjc,7c4feff4f6f21adc4127c77f9b03c3fa70cc4756
pyramid,https://github.com/Pylons/pyramid,339af1557e55500c423cf3c659d3096b56bf08d1
Pyro4,https://github.com/irmen/Pyro4,22460c4a48997bea550a08fa2de8fda6aaf21a69
python-api,https://github.com/plotly/python-api,a0771341f08024d81677b3440b47fcb8da6fda1c
quodlibet,https://github.com/quod-libet/quodlibet,ba9cf9c369e859365a7a4cb4099e7048c624a347
sabnzbd,https://github.com/sabnzbd/sabnzbd,2cea65f36bc67c459903d1cbde6359fe3d0a33b2
sage,https://github.com/sagemath/sage,9caa4bf698f7a0a89dc8b1bff8adf17bd9ff6582
scikit-image,https://github.com/scikit-image/scikit-image,8f2839e1b34092a145ffb4293b4932f69c81dde0
scikit-learn,https://github.com/scikit-learn/scikit-learn,4afbccedd3ced50e9b4019a2509df8eacdc1c7ba
sympy,https://github.com/sympy/sympy,a2f5fb2d41c94b045111eeef667a5bbe5eecda17
tg2,https://github.com/TurboGears/tg2,25d5893829190a1c7fa62f3457563368a24b2668
tornado,https://github.com/tornadoweb/tornado,c42ebde1b8a9c782777671a6d1fc94f2ccd6297f
trac,https://github.com/edgewall/trac,0d9a1cb3a1ebbbca562a288334619002b970fa3c
tryton,https://github.com/tryton/tryton,ef49bd324e082382742fd8c95b49759d776bb9a0
twisted,https://github.com/twisted/twisted,b5873ea830ff54e336efb957fcff3e853150b1fb
veusz,https://github.com/jeremysanders/veusz,b52983c95baae42058373d1e12df99f6f5fcefb1
VisTrails,https://github.com/VisTrails/VisTrails,e21695a7388e7d15a06cd9e7c3b5d36ecaa1b6a0
vpython-wx,https://github.com/BruceSherwood/vpython-wx,6036aa1fbd2caf721d4330e4b2d60f81d925c9cf
web2py,https://github.com/web2py/web2py/,13e3adf22dd2f7eb479959c746314b0de656b4a9
wxPython,https://github.com/wxWidgets/wxPython,14476d72d92c44624d5754c4f1fac2e8d7bc30da
Zope,https://github.com/zopefoundation/Zope,c2931d737eddfa80c013c7290b4de17335e96243
